"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"1-4 years"	"1-4"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	12	253052	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"All other diseases (Residual) "	"GR113-111"	18	253052	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	46	253052	18.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	24	253052	9.5
	"1999"	"1999"	"1-4 years"	"1-4"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	21	253052	8.3
	"1999"	"1999"	"1-4 years"	"1-4"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	22	253052	8.7
	"1999"	"1999"	"1-4 years"	"1-4"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	11	253052	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	13	689702	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	10	689702	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	14	689702	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"All other diseases (Residual) "	"GR113-111"	23	689702	3.3
	"1999"	"1999"	"5-14 years"	"5-14"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	92	689702	13.3
	"1999"	"1999"	"5-14 years"	"5-14"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	45	689702	6.5
	"1999"	"1999"	"5-14 years"	"5-14"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	43	689702	6.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	47	689702	6.8
	"1999"	"1999"	"5-14 years"	"5-14"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	16	689702	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	12	689702	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	11	689702	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	34	691233	4.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	18	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Leukemia (C91-C95)"	"GR113-040"	13	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	32	691233	4.6
	"1999"	"1999"	"15-24 years"	"15-24"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	20	691233	2.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Other heart diseases (I26-I51)"	"GR113-064"	14	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	13	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	13	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"All other diseases (Residual) "	"GR113-111"	47	691233	6.8
	"1999"	"1999"	"15-24 years"	"15-24"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	350	691233	50.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	283	691233	40.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	267	691233	38.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	10	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	67	691233	9.7
	"1999"	"1999"	"15-24 years"	"15-24"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	22	691233	3.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	12	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	18	691233	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	82	691233	11.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	59	691233	8.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	23	691233	3.3
	"1999"	"1999"	"15-24 years"	"15-24"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	142	691233	20.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	112	691233	16.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	30	691233	4.3
	"1999"	"1999"	"15-24 years"	"15-24"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	12	691233	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	95	608582	15.6
	"1999"	"1999"	"25-34 years"	"25-34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	64	608582	10.5
	"1999"	"1999"	"25-34 years"	"25-34"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	14	608582	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	15	608582	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	16	608582	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	103	608582	16.9
	"1999"	"1999"	"25-34 years"	"25-34"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	83	608582	13.6
	"1999"	"1999"	"25-34 years"	"25-34"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	25	608582	4.1
	"1999"	"1999"	"25-34 years"	"25-34"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	16	608582	Unreliable
	"1999"	"1999"	"25-34 years"	"25-34"	"Other heart diseases (I26-I51)"	"GR113-064"	45	608582	7.4
	"1999"	"1999"	"25-34 years"	"25-34"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	42	608582	6.9
	"1999"	"1999"	"25-34 years"	"25-34"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	15	608582	Unreliable
